タイトル,作成日,ID,文書種類,文書記述形式,枚数,カード目録,カテゴリ,所蔵,所属,内容,備考,登録年,エンティティ（Google Cloud Vision）,軍艦,特記事項,Transcription,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
〔書翰〕〔8/2/22〕と記載 中央命令ニ接シ千載ノ怨酒ヲ飲デ慰ム      〔発〕土佐高雄中止命令記念会  〔宛〕平賀 譲,,81840101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔不明/2/22〕,2007,text|font|paper|drawing|brand|black and white|monochrome photography|monochrome|artwork|picture frame|stock photography|water,http://dbpedia.org/resource/Japanese_aircraft_carrier_Kaga,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b030a148-3530-4e7f-8c9e-6c6eca01c5bb.json,b030a148-3530-4e7f-8c9e-6c6eca01c5bb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/b030a148-3530-4e7f-8c9e-6c6eca01c5bb,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b8e2f48fc486143bd9f153ce363f8b64b33e134f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112171,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112171/manifest,,,,,2
〔書翰〕〔名誉ノ叙勲祝辞〕      〔発〕栃内  〔宛〕平賀 譲,,81850101,封書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔不明/11/20〕,2007,text|font|handwriting|black and white|calligraphy|writing|paper|line|design|drawing|monochrome,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bedc35ed-8e6c-40dc-820c-5e5704429fd3.json,bedc35ed-8e6c-40dc-820c-5e5704429fd3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/bedc35ed-8e6c-40dc-820c-5e5704429fd3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0578c43d1a09bb0f5d118e8ac11e31bf68fbd8a5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112172,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112172/manifest,,,,,2
〔書翰〕〔12.4.28〕消印 古奈温泉 前日の結婚式への出席と祝辞への御礼      〔発〕仲 威雄  〔宛〕平賀 譲,,81860101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔不明/4/27〕,2007,text|font|black and white|drawing|paper|artwork|photograph|monochrome photography|monochrome|stock photography|picture frame|brand,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/cae77dc7-559e-4e59-96e9-430e9a0a845c.json,cae77dc7-559e-4e59-96e9-430e9a0a845c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/cae77dc7-559e-4e59-96e9-430e9a0a845c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/78f8774f877a57eb33975faafe5d50fe1efaab84.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112173,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112173/manifest,,,,,2
〔書翰〕書翰      〔発〕長岡半太郎  〔宛〕平賀 譲,1940-09-09,81870101,封書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔昭和15/9/9〕,2007,text|font|paper|brand|product|angle|pattern|diagram|rectangle,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/62b6e891-110c-4a7f-9333-c0fc9f06abb3.json,62b6e891-110c-4a7f-9333-c0fc9f06abb3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/62b6e891-110c-4a7f-9333-c0fc9f06abb3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f775d6f408632d8574692d158857d0879047ae24.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112174,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112174/manifest,,,,,3
〔書翰〕書翰      〔発〕長岡半太郎  〔宛〕平賀 譲,1934-03-02,81880101,封書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔昭和9/3/2〕,2007,text|font|paper|angle|product|drawing|black and white|artwork|monochrome|calligraphy,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/baa2a714-113f-4ecf-bf93-bcf2a16e0602.json,baa2a714-113f-4ecf-bf93-bcf2a16e0602,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/baa2a714-113f-4ecf-bf93-bcf2a16e0602,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/aa3885bf4aec056c0bcacecb26b75672d6b17305.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112175,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112175/manifest,,,,,3
〔書翰〕駆遂艦はまかぜ完成状態及進水報告      〔発〕中川 駿  〔宛〕平賀 譲,,81890101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|document|photograph|black and white|picture frame|brand|rectangle|product,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5f93f3ad-ce5b-4a59-82a4-7447b86290a8.json,5f93f3ad-ce5b-4a59-82a4-7447b86290a8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/5f93f3ad-ce5b-4a59-82a4-7447b86290a8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/39c4c0ae46408a047c619dade3bfbe2460e67632.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112176,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112176/manifest,,,,,2
〔書翰〕〔7?.6.20〕      〔発〕中川船少佐    〔宛〕平賀 譲,,81900101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔不明/不明/6〕,2007,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0a55759e-4b50-4ef8-972d-0ef5a161670a.json,0a55759e-4b50-4ef8-972d-0ef5a161670a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/0a55759e-4b50-4ef8-972d-0ef5a161670a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/846e83aaa10d58c8949c81745cf5e488f8fd1b44.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112177,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112177/manifest,,,,,2
〔書翰〕金牌      〔発〕中島芳次〔岐阜県郡上郡八幡小学校長〕  〔宛〕平賀 譲,1937-12-07,81910101,封書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔昭和12/12/7〕,2007,font|product|black and white|brand|paper|text|calligraphy|history|monochrome|handwriting|writing|line|monochrome photography|angle|artwork|art,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e1a94936-8a56-4259-9eef-1cb77b061531.json,e1a94936-8a56-4259-9eef-1cb77b061531,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/e1a94936-8a56-4259-9eef-1cb77b061531,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/03e8ea05fa3a1f18d3dc1b4ac45c33044ad196b7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112178,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112178/manifest,,,,,6
〔書翰〕〔発〕〔中村〕操  〔宛〕平賀 譲,,81920101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔明治39/10/19〕,2007,text|font|paper|document|brand|angle|rectangle|black and white|drawing|monochrome|monochrome photography|artwork|aviation|aircraft|diagram|airplane,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b0ba41b0-ffcc-4ea4-b5e5-11217b30a17c.json,b0ba41b0-ffcc-4ea4-b5e5-11217b30a17c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/b0ba41b0-ffcc-4ea4-b5e5-11217b30a17c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a1830347ac3e634e05de502f239746db667c6a25.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112179,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112179/manifest,,,,,3
〔書翰〕〔発〕中村 操  〔宛〕平賀 譲,1907-04-18,81930101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔明治40/4/18〕,2007,text|font|paper|document|material|paper product|brand|mail|rectangle|black and white|drawing|monochrome photography|monochrome|artwork|angle|watercraft|sketch|naval ship|naval architecture|heavy cruiser,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/51d11a1c-2ef4-49d8-ab62-0f7cf87a0842.json,51d11a1c-2ef4-49d8-ab62-0f7cf87a0842,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/51d11a1c-2ef4-49d8-ab62-0f7cf87a0842,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/90b96ef4f8c853888a9eb0d4d647b2458fc8bc34.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112180,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112180/manifest,,,,,3
〔書翰〕〔発〕〔中村〕操  〔宛〕平賀 譲,1908-05-03,81940101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔明治41/5/3〕,2007,text|font|paper|material|document|paper product|black and white|monochrome photography|monochrome|artwork|rectangle|brand,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ea429b6f-d426-4cf1-9e7b-91c55bda1259.json,ea429b6f-d426-4cf1-9e7b-91c55bda1259,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/ea429b6f-d426-4cf1-9e7b-91c55bda1259,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3daface75591ba216785fd6ab3f8319a57784f29.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112181,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112181/manifest,,,,,2
〔書翰〕〔発〕〔中村〕操  〔宛〕平賀 譲,,81950101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔不明/7/13〕,2007,black and white|line|font|angle|rectangle|paper|brand|text|drawing|history|monochrome|artwork|paper product,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2a8eeb09-ecde-4c85-921b-9cbf754fb25e.json,2a8eeb09-ecde-4c85-921b-9cbf754fb25e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/2a8eeb09-ecde-4c85-921b-9cbf754fb25e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9845c119f6f0634c1a86fd143cf0cd129e4b9efa.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112182,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112182/manifest,,,,,2
〔書翰〕〔発〕永村 清〔造船少将〕  〔宛〕平賀 譲,,81960101,封書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔不明/11/19〕,2007,text|music|font|handwriting|paper|document|line|black and white|writing|material|angle|paper product|diagram,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/37abed86-8595-4cab-ae3a-6196a76f7117.json,37abed86-8595-4cab-ae3a-6196a76f7117,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/37abed86-8595-4cab-ae3a-6196a76f7117,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c3f2c29e4bd6c6e1b120d2ae5b958e13f1b24917.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112183,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112183/manifest,,,,,3
〔書翰〕〔10.4.20〕Successfully launched      〔発〕K.Nagamura  〔宛〕平賀 譲,,81970101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔不明/4/20〕,2007,text|paper|font|document|angle|black and white|drawing|design|rectangle|brand|product,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/782a2f9d-f16a-44f1-83a7-d61662508aea.json,782a2f9d-f16a-44f1-83a7-d61662508aea,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/782a2f9d-f16a-44f1-83a7-d61662508aea,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9f0702f91c3a09dae232f49b4e6858278a3d7c23.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112184,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112184/manifest,,,,,2
〔書翰〕〔発〕中山太一   〔宛〕平賀 譲,1940-09-29,81980101,封書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔昭和15/9/29〕,2007,font|paper|black and white|brand|product|text|handwriting|calligraphy|writing|monochrome|line|number|artwork|angle|monochrome photography,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/667edb2b-546a-41f2-b603-beffc29742c9.json,667edb2b-546a-41f2-b603-beffc29742c9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/667edb2b-546a-41f2-b603-beffc29742c9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/efcc6fa681e0090d5c2415d7903e436fd11ddb68.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112185,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112185/manifest,,,,,8
〔書翰〕〔発〕長与又郎  〔宛〕平賀 譲,1939-04-08,81990101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔昭和14/4/8〕,2007,text|font|black and white|paper|document|brand|monochrome|monochrome photography,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/82ed7237-a35b-40ac-92f9-1390926ba2a9.json,82ed7237-a35b-40ac-92f9-1390926ba2a9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/82ed7237-a35b-40ac-92f9-1390926ba2a9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/acf68a6aba1e745da95c11dff9903bb2e0e92d45.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112186,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112186/manifest,,,,,2
〔書翰〕〔15.4.19〕消印      〔発〕長与又郎  〔宛〕平賀 譲,,82000101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔不明/4/18〕,2007,text|font|brand|paper|rectangle|product|photograph|black and white|monochrome photography|monochrome,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f771be0a-1962-4212-a9ad-76b6c9eb4e6e.json,f771be0a-1962-4212-a9ad-76b6c9eb4e6e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/f771be0a-1962-4212-a9ad-76b6c9eb4e6e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/795eb55349fd56efb2f560e7315ec94ccbfa137b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112187,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112187/manifest,,,,,2
〔書翰〕〔14.9.26〕消印      〔発〕長与又郎  〔宛〕平賀 譲,,82010101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔不明/9/25〕,2007,text|font|paper|document|black and white|brand|monochrome|monochrome photography,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/17f89eb1-fc6a-43ec-8200-944ea7c3ba85.json,17f89eb1-fc6a-43ec-8200-944ea7c3ba85,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/17f89eb1-fc6a-43ec-8200-944ea7c3ba85,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3790ae78ba15ae3967b71df9b392ef1d038a0a72.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112188,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112188/manifest,,,,,2
〔書翰〕門司にて投函「不二」車中で高松宮殿下に「御進講」。「昨夜夜7時より9時迄、人交ぜせずして種々言上の光栄」      〔発〕那須 皓  〔宛〕平賀 譲,,82020101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔不明/3/20〕,2007,text|font|paper|brand|document|angle|product|rectangle|photograph|black and white|monochrome photography|monochrome|picture frame,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3e572463-0c94-4200-aa4a-73bcc960e807.json,3e572463-0c94-4200-aa4a-73bcc960e807,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/3e572463-0c94-4200-aa4a-73bcc960e807,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2c3c05e6e171ae145647ff2fcddd95d6a0c239fd.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112189,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112189/manifest,,,,,2
〔書翰〕新体制準備委員会の委員、御自愛の程。御来燕〔北京〕不可能と知り諦める      〔発〕那須 皓  〔宛〕平賀 譲,,82030101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔不明/8/28〕,2007,text|font|paper|product|brand|photograph|black and white|monochrome photography|monochrome|paper product|stock photography|artwork,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/83eed520-a40d-4e7a-800b-cf60cfc4749c.json,83eed520-a40d-4e7a-800b-cf60cfc4749c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/83eed520-a40d-4e7a-800b-cf60cfc4749c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d6e0e835b8f43455dc80a0bd7f3b2c36897d0687.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112190,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112190/manifest,,,,,2
〔書翰〕〔14.6.24〕北京、京城からの帰途。下関からの帰朝挨拶。      〔発〕那須 皓  〔宛〕平賀 譲,,82040101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔不明/6/24〕,2007,text|font|paper|document|photograph|black and white|monochrome photography|monochrome|artwork|drawing|brand|stock photography,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c7ad4788-1adf-496e-bc01-6d614c1fcdb7.json,c7ad4788-1adf-496e-bc01-6d614c1fcdb7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/c7ad4788-1adf-496e-bc01-6d614c1fcdb7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fd5392afba9d33c8ba73c022283115a22699ca06.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112191,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112191/manifest,,,,,2
